Libertex platform

Conto:	2902148352	Nome:	 	Valute:	EUR	Data del rapporto:	16.06.2020 14:11:33

Strumento	Numero operazione	Direzione	Data di apertura	Prezzo aper.	Data di chiusura	Prezzo chiusura	Importo (€)	Moltiplicatore	Ricevuto (€)	Profitto (€)
Bitcoin	Bitcoin-18527185	Compra	14/6/2020 17:53	9391	16/6/2020 14:04	9532.75	20	x1	20.27	0.27
GBP/USD	GBPUSD-18536886	Vendi	15/6/2020 7:40	1.26043	16/6/2020 14:04	1.26273	300	x50	271.48	-28.52
GBP/USD	GBPUSD-18539679	Vendi	15/6/2020 7:37	1.26033	16/6/2020 14:04	1.26273	300	x50	270.5	-29.5
Bitcoin	Bitcoin-18527182	Vendi	14/6/2020 17:53	9390.5	16/6/2020 14:04	9533.25	20	x1	19.68	-0.32
GBP/USD	GBPUSD-18585602	Vendi	16/6/2020 7:33	1.26258	16/6/2020 14:04	1.26268	20	x50	19.85	-0.15
GBP/USD	GBPUSD-18594663	Compra	16/6/2020 13:13	1.26347	16/6/2020 14:04	1.26268	4000	x600	2280.92	-1719.08
GBP/USD	GBPUSD-18548885	Vendi	15/6/2020 11:09	1.26091	16/6/2020 14:04	1.26273	120	x50	110.92	-9.08
GBP/USD	GBPUSD-18539753	Vendi	15/6/2020 7:40	1.26046	16/6/2020 14:04	1.26273	300	x50	271.97	-28.03
GBP/USD	GBPUSD-18571557	Vendi	15/6/2020 19:22	1.2592	16/6/2020 14:04	1.26268	50	x50	42.86	-7.14
Ethereum	ETHUSD-18516887	Compra	13/6/2020 15:27	237.83	16/6/2020 14:04	234.386	20	x1	19.64	-0.36
GBP/USD	GBPUSD-18602285	Compra	16/6/2020 13:49	1.26294	16/6/2020 14:04	1.26268	20	x600	16.81	-3.19
GBP/USD	GBPUSD-18540108	Vendi	15/6/2020 7:37	1.2603	16/6/2020 14:04	1.26273	300	x50	270	-30
GBP/USD	GBPUSD-18599498	Compra	16/6/2020 13:00	1.2665	16/6/2020 14:04	1.26268	20	x200	7.66	-12.34
GBP/USD	GBPUSD-18587264	Vendi	16/6/2020 8:15	1.2634	16/6/2020 14:04	1.26268	8550	x50	8766.62	216.62
GBP/USD	GBPUSD-18600301	Compra	16/6/2020 13:14	1.26366	16/6/2020 13:56	1.26163	11808	x600	-	-
GBP/USD	GBPUSD-18595682	Vendi	16/6/2020 11:55	1.26501	16/6/2020 13:47	1.26346	20	x100	22.31	2.31
GBP/USD	GBPUSD-18599936	Compra	16/6/2020 13:11	1.26459	16/6/2020 13:39	1.26256	20	x600	-	-
GBP/USD	GBPUSD-18599611	Compra	16/6/2020 13:03	1.26557	16/6/2020 13:13	1.26352	13020	x600	-	-
GBP/USD	GBPUSD-18598368	Vendi	16/6/2020 12:42	1.26761	16/6/2020 13:06	1.265	20	x50	21.99	1.99
GBP/USD	GBPUSD-18598802	Vendi	16/6/2020 13:00	1.26649	16/6/2020 13:06	1.26496	20	x100	22.26	2.26
GBP/USD	GBPUSD-18591224	Vendi	16/6/2020 12:37	1.2665	16/6/2020 13:04	1.26574	50	x200	55.64	5.64
GBP/USD	GBPUSD-18598867	Vendi	16/6/2020 12:49	1.26702	16/6/2020 13:04	1.26573	50	x100	54.71	4.71
GBP/USD	GBPUSD-18598742	Compra	16/6/2020 12:48	1.26678	16/6/2020 12:58	1.26764	50	x50	51.52	1.52
GBP/USD	GBPUSD-18599318	Vendi	16/6/2020 12:57	1.2685	16/6/2020 12:57	-	50	x100	-	-
GBP/USD	GBPUSD-18598880	Compra	16/6/2020 12:49	1.26733	16/6/2020 12:55	1.26752	18050	x100	18196.07	146.07
GBP/USD	GBPUSD-18595327	Compra	16/6/2020 11:40	1.2647	16/6/2020 12:47	1.26691	20	x100	23.37	3.37
GBP/USD	GBPUSD-18595397	Vendi	16/6/2020 12:15	1.26793	16/6/2020 12:47	1.26695	520	x200	594.59	74.59
GBP/USD	GBPUSD-18593956	Vendi	16/6/2020 12:30	1.26761	16/6/2020 12:47	1.26695	550	x200	599.32	49.32
GBP/USD	GBPUSD-18583443	Vendi	16/6/2020 12:44	1.268	16/6/2020 12:47	1.26718	20	x600	27.33	7.33
GBP/USD	GBPUSD-18582948	Vendi	16/6/2020 12:40	1.26728	16/6/2020 12:46	1.26715	6500	x600	6707.13	207.13
GBP/USD	GBPUSD-18583433	Compra	16/6/2020 6:20	1.26637	16/6/2020 12:45	1.26805	20	x100	22.5	2.5
GBP/USD	GBPUSD-18591513	Compra	16/6/2020 10:02	1.26536	16/6/2020 12:45	1.26796	20	x50	21.99	1.99
GBP/USD	GBPUSD-18595291	Compra	16/6/2020 11:34	1.2649	16/6/2020 12:45	1.26797	50	x100	61.79	11.79
GBP/USD	GBPUSD-18595604	Compra	16/6/2020 11:43	1.26465	16/6/2020 12:45	1.26795	20	x600	50.5	30.5
GBP/USD	GBPUSD-18595427	Compra	16/6/2020 11:47	1.26429	16/6/2020 12:45	1.26777	20	x200	30.83	10.83
