Libertex platform

Conto:	2902148352	Nome:	 	Valute:	EUR	Data del rapporto:	13.04.2020 12:07:17

Strumento	Numero operazione	Direzione	Data di apertura	Prezzo aper.	Data di chiusura	Prezzo chiusura	Importo (€)	Moltiplicatore	Ricevuto (€)	Profitto (€)
GBP/USD	GBPUSD-16415215	Vendi	13/4/2020 11:56	1.24929	13/4/2020 12:01	1.2489	2000	x600	2259.34	259.34
GBP/USD	GBPUSD-16415275	Compra	13/4/2020 11:57	1.24899	13/4/2020 12:01	-	3000	x600	-	-
GBP/USD	GBPUSD-16415203	Compra	13/4/2020 11:56	1.24921	13/4/2020 11:56	1.24935	4000	x200	4006.4	6.4
WTI Crude Oil	WT-16411179	Vendi	13/4/2020 9:59	28.82	13/4/2020 10:44	29.17	2500	x60	-	-
WTI Crude Oil	WT-16411131	Vendi	13/4/2020 9:57	28.72	13/4/2020 10:43	29.06	20	x60	-	-
GBP/USD	GBPUSD-16407156	Compra	13/4/2020 7:39	1.25271	13/4/2020 10:13	1.24909	6000	x100	4199.1	-1800.9
GBP/USD	GBPUSD-16408940	Vendi	13/4/2020 8:45	1.25101	13/4/2020 10:13	1.24909	20	x200	26.04	6.04
WTI Crude Oil	WT-16410953	Vendi	13/4/2020 9:49	22.81	13/4/2020 9:59	23	3000	x60	1066.63	-1933.37
WTI Crude Oil	WT-16410894	Vendi	13/4/2020 9:47	22.78	13/4/2020 9:59	22.99	2500	x60	820.89	-1679.11
WTI Crude Oil	WT-16410860	Vendi	13/4/2020 9:46	22.72	13/4/2020 9:59	22.99	2500	x60	420.33	-2079.67
WTI Crude Oil	WT-16410374	Vendi	13/4/2020 9:29	22.71	13/4/2020 9:59	22.99	6000	x60	531.04	-5468.96
WTI Crude Oil	WT-16410841	Vendi	13/4/2020 9:45	22.67	13/4/2020 9:58	23.01	2500	x60	-	-
WTI Crude Oil	WT-16410342	Compra	13/4/2020 9:28	22.84	13/4/2020 9:58	22.95	6000	x60	6709.28	709.28
WTI Crude Oil	WT-16411095	Compra	13/4/2020 9:55	22.71	13/4/2020 9:55	-	3000	x60	-	-
WTI Crude Oil	WT-16410429	Compra	13/4/2020 9:31	22.78	13/4/2020 9:54	22.85	2500	x60	2532.92	32.92
WTI Crude Oil	WT-16410898	Compra	13/4/2020 9:47	22.8	13/4/2020 9:54	22.87	2500	x60	2598.68	98.68
WTI Crude Oil	WT-16410870	Compra	13/4/2020 9:46	22.75	13/4/2020 9:49	22.82	2500	x60	2598.9	98.9
WTI Crude Oil	WT-16410820	Compra	13/4/2020 9:44	22.69	13/4/2020 9:47	22.77	2500	x60	2599.16	99.16
WTI Crude Oil	WT-16410783	Compra	13/4/2020 9:43	22.67	13/4/2020 9:47	22.77	2500	x60	2731.58	231.58
WTI Crude Oil	WT-16410101	Vendi	13/4/2020 9:18	23.05	13/4/2020 9:42	22.7	20	x60	34.83	14.83
